;fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality
3155;6.8;0.39;0.34;7.4;0.02;38.0;133.0;0.99212;3.18;0.44;12.0;7
1412;6.9;0.3;0.33;4.1;0.035;26.0;155.0;0.9925;3.25;0.79;12.3;8
4102;6.9;0.37;0.23;9.5;0.057;54.0;166.0;0.99568;3.23;0.42;10.0;5
1372;10.7;0.22;0.56;8.2;0.044;37.0;181.0;0.998;2.87;0.68;9.5;6
3556;4.8;0.21;0.21;10.2;0.037;17.0;112.0;0.99324;3.66;0.48;12.2;7
1723;6.5;0.18;0.34;1.6;0.04;43.0;148.0;0.9912;3.32;0.59;11.5;8
3939;6.2;0.27;0.32;6.3;0.048;47.0;159.0;0.99282;3.21;0.6;11.0;6
3950;4.9;0.345;0.34;1.0;0.068;32.0;143.0;0.99138;3.24;0.4;10.1;5
4670;6.6;0.285;0.49;11.4;0.035;57.0;137.0;0.99732;3.08;0.54;8.9;6
1659;6.6;0.325;0.49;7.7;0.049;53.0;217.0;0.996;3.16;0.4;9.3;5
3815;6.3;0.43;0.32;8.8;0.042;18.0;106.0;0.99172;3.28;0.33;12.9;7
4880;6.6;0.34;0.4;8.1;0.046;68.0;170.0;0.99494;3.15;0.5;9.53333333333;6
1452;7.8;0.43;0.49;13.0;0.033;37.0;158.0;0.9955;3.14;0.35;11.3;6
4452;6.3;0.39;0.22;2.8;0.048;53.0;173.0;0.99304;3.24;0.45;9.8;5
4365;6.3;0.19;0.33;10.1;0.063;63.0;133.0;0.99561;2.86;0.41;9.1;5
1543;7.3;0.14;0.49;1.1;0.038;28.0;99.0;0.9928;3.2;0.72;10.6;6
1401;6.3;0.67;0.48;12.6;0.052;57.0;222.0;0.9979;3.17;0.52;9.3;6
2783;7.1;0.2;0.31;7.4;0.053;32.0;211.0;0.99587;3.31;0.59;10.4;6
3181;8.3;0.16;0.37;7.9;0.025;38.0;107.0;0.99306;2.93;0.37;11.9;6
2550;6.2;0.33;0.14;4.8;0.052;27.0;128.0;0.99475;3.21;0.48;9.4;5
1489;7.9;0.16;0.74;17.85;0.037;52.0;187.0;0.9998;2.99;0.41;9.3;5
1382;6.6;0.56;0.16;3.1;0.045;28.0;92.0;0.994;3.12;0.35;9.1;6
2870;6.7;0.48;0.32;1.4;0.021;22.0;121.0;0.9889;3.15;0.53;12.7;7
1967;8.0;0.23;0.35;9.2;0.044;53.0;186.0;0.997;3.09;0.56;9.5;7
678;5.8;0.32;0.38;4.75;0.033;23.0;94.0;0.991;3.42;0.42;11.8;7
138;6.8;0.19;0.36;1.9;0.035;30.0;96.0;0.9917;3.15;0.54;10.8;7
3537;6.2;0.27;0.47;1.2;0.146;28.0;105.0;0.99224;3.23;0.51;10.1;5
1987;8.1;0.22;0.28;7.7;0.043;57.0;176.0;0.9954;3.12;0.55;10.0;5
4479;6.0;0.555;0.26;4.5;0.053;17.0;126.0;0.9943;3.24;0.46;9.1;5
917;7.7;0.3;0.32;1.6;0.037;23.0;124.0;0.9919;2.93;0.33;11.0;6
1943;6.3;0.25;0.44;11.6;0.041;48.0;195.0;0.9968;3.18;0.52;9.5;5
2935;7.1;0.27;0.28;1.25;0.023;3.0;89.0;0.98993;2.95;0.3;11.4;4
2372;6.0;0.33;0.18;3.0;0.036;5.0;85.0;0.99125;3.28;0.4;11.5;4
1262;7.3;0.18;0.65;1.4;0.046;28.0;157.0;0.9946;3.33;0.62;9.4;6
2836;6.5;0.22;0.45;8.0;0.053;52.0;196.0;0.9959;3.23;0.48;9.1;6
2878;5.9;0.32;0.33;2.1;0.027;35.0;138.0;0.98945;3.37;0.42;12.7;6
3025;5.4;0.22;0.29;1.2;0.045;69.0;152.0;0.99178;3.76;0.63;11.0;7
3861;6.2;0.22;0.3;12.4;0.054;108.0;152.0;0.99728;3.1;0.47;9.5;6
4701;6.4;0.69;0.09;7.6;0.044;34.0;144.0;0.9948;3.26;0.38;10.1;6
2281;6.3;0.16;0.22;1.3;0.046;18.0;66.0;0.99307;3.61;0.55;10.3;6
4855;7.1;0.23;0.39;13.7;0.058;26.0;172.0;0.99755;2.9;0.46;9.0;6
51;6.6;0.25;0.29;1.1;0.068;39.0;124.0;0.9914;3.34;0.58;11.0;7
2805;7.3;0.2;0.26;1.6;0.04;36.0;123.0;0.99238;3.34;0.44;10.8;6
4668;6.0;0.17;0.33;6.0;0.036;30.0;111.0;0.99362;3.32;0.58;10.15;7
2326;6.9;0.35;0.55;11.95;0.038;22.0;111.0;0.99687;3.11;0.29;9.7;5
2148;7.1;0.33;0.64;13.2;0.056;12.0;105.0;0.9972;3.05;0.39;9.2;5
3027;7.4;0.32;0.22;11.7;0.035;44.0;150.0;0.99578;3.1;0.45;10.4;5
4757;6.0;0.38;0.26;3.5;0.035;38.0;111.0;0.98872;3.18;0.47;13.6;7
2637;8.7;0.31;0.73;14.35;0.044;27.0;191.0;1.00013;2.96;0.88;8.7;5
465;6.3;0.21;0.58;10.0;0.081;34.0;126.0;0.9962;2.95;0.46;8.9;5
2371;6.2;0.45;0.73;7.2;0.099;47.0;202.0;0.99582;3.21;0.43;9.2;5
181;7.1;0.34;0.15;1.2;0.053;61.0;183.0;0.9936;3.09;0.43;9.2;5
4152;6.2;0.2;0.25;15.0;0.055;8.0;120.0;0.99767;3.19;0.53;9.6;6
4287;7.6;0.28;0.17;1.6;0.046;28.0;117.0;0.99288;3.08;0.43;10.0;5
1113;7.4;0.18;0.4;1.6;0.047;22.0;102.0;0.9937;3.28;0.44;10.7;5
901;8.0;0.29;0.29;13.2;0.046;26.0;113.0;0.9983;3.25;0.37;9.7;6
910;6.3;0.33;0.2;5.8;0.04;24.0;144.0;0.99425;3.15;0.63;9.9;5
3224;5.7;0.15;0.28;3.7;0.045;57.0;151.0;0.9913;3.22;0.27;11.2;6
2798;6.9;0.31;0.32;1.6;0.036;34.0;114.0;0.99068;3.19;0.45;11.4;7
3743;7.0;0.15;0.28;14.7;0.051;29.0;149.0;0.99792;2.96;0.39;9.0;7
1522;6.9;0.21;0.49;1.4;0.041;15.0;164.0;0.9927;3.25;0.63;11.0;5
2123;6.8;0.25;0.27;10.7;0.076;47.0;154.0;0.9967;3.05;0.38;9.0;5
906;8.3;0.27;0.45;1.3;0.048;8.0;72.0;0.9944;3.08;0.61;10.3;4
286;6.5;0.28;0.33;15.7;0.053;51.0;190.0;0.9978;3.22;0.51;9.7;6
1629;7.8;0.15;0.24;7.7;0.047;21.0;98.0;0.9951;2.94;0.31;9.6;6
1126;6.5;0.115;0.29;1.95;0.038;73.0;166.0;0.989;3.12;0.25;12.9;7
4892;6.5;0.23;0.38;1.3;0.032;29.0;112.0;0.99298;3.29;0.54;9.7;5
443;6.6;0.52;0.44;12.2;0.048;54.0;245.0;0.9975;3.26;0.54;9.3;6
2412;6.3;0.38;0.17;8.8;0.08;50.0;212.0;0.99803;3.47;0.66;9.4;4
3179;8.5;0.2;0.4;1.1;0.046;31.0;106.0;0.99194;3.0;0.35;10.5;4
1665;6.5;0.13;0.37;1.0;0.036;48.0;114.0;0.9911;3.41;0.51;11.5;8
2939;7.0;0.12;0.29;10.3;0.039;41.0;98.0;0.99564;3.19;0.38;9.8;8
4890;6.1;0.34;0.29;2.2;0.036;25.0;100.0;0.98938;3.06;0.44;11.8;6
3411;6.0;0.14;0.17;5.6;0.036;37.0;127.0;0.99373;3.05;0.57;9.8;6
791;5.9;0.24;0.3;2.0;0.033;28.0;92.0;0.99225;3.39;0.69;10.9;7
4241;6.4;0.27;0.29;3.9;0.034;62.0;140.0;0.99237;3.1;0.59;11.1;6
3071;6.5;0.36;0.38;10.2;0.028;20.0;82.0;0.99274;3.1;0.43;12.1;7
3104;7.6;0.21;0.49;2.5;0.047;20.0;130.0;0.99178;3.15;0.48;11.1;5
2423;7.2;0.24;0.29;3.0;0.036;17.0;117.0;0.99411;3.36;0.68;10.1;6
2813;5.8;0.32;0.31;2.7;0.049;25.0;153.0;0.99067;3.44;0.73;12.2;7
2387;6.9;0.3;0.3;1.3;0.053;24.0;186.0;0.99361;3.29;0.54;9.9;4
3304;6.0;0.32;0.3;1.9;0.033;41.0;142.0;0.98912;3.29;0.42;12.8;7
4054;7.2;0.17;0.28;17.55;0.05;33.0;154.0;0.99971;2.94;0.43;9.0;7
877;6.0;0.28;0.34;1.6;0.119;33.0;104.0;0.9921;3.19;0.38;10.2;6
2518;7.1;0.12;0.3;3.1;0.018;15.0;37.0;0.99004;3.02;0.52;11.9;7
3822;7.0;0.33;0.28;5.7;0.033;39.0;204.0;0.99176;3.17;0.64;12.5;6
1664;8.1;0.28;0.46;15.4;0.059;32.0;177.0;1.0004;3.27;0.58;9.0;4
2781;7.8;0.965;0.6;65.8;0.074;8.0;160.0;1.03898;3.39;0.69;11.7;6
282;6.8;0.44;0.37;5.1;0.047;46.0;201.0;0.9938;3.08;0.65;10.5;4
3673;5.4;0.3;0.3;1.2;0.029;25.0;93.0;0.98742;3.31;0.4;13.6;7
4266;6.0;0.31;0.27;2.3;0.042;19.0;120.0;0.98952;3.32;0.41;12.7;7
3445;6.6;0.15;0.32;6.0;0.033;59.0;128.0;0.99192;3.19;0.71;12.1;8
3360;7.1;0.18;0.49;1.3;0.033;12.0;72.0;0.99072;3.05;0.53;11.3;7
1451;7.2;0.4;0.49;1.1;0.048;11.0;138.0;0.9929;3.01;0.42;9.3;5
4362;6.2;0.24;0.27;2.9;0.039;30.0;123.0;0.98959;3.12;0.37;12.8;6
838;7.3;0.25;0.36;2.1;0.034;30.0;177.0;0.99085;3.25;0.4;11.9;8
2821;6.6;0.4;0.46;6.2;0.056;42.0;241.0;0.9968;3.5;0.6;9.9;5
3260;7.4;0.19;0.31;14.5;0.045;39.0;193.0;0.9986;3.1;0.5;9.2;6
2140;7.7;0.28;0.35;15.3;0.056;31.0;117.0;0.9998;3.27;0.5;9.6;5
3314;6.6;0.435;0.38;9.2;0.058;66.0;243.0;0.99833;3.23;0.54;9.1;6
2436;6.9;0.43;0.28;9.4;0.056;29.0;183.0;0.99594;3.17;0.43;9.4;5
1969;6.3;0.41;0.3;3.2;0.03;49.0;164.0;0.9927;3.53;0.79;11.7;7
4861;5.5;0.31;0.29;3.0;0.027;16.0;102.0;0.99067;3.23;0.56;11.2;6
1675;6.2;0.27;0.32;8.8;0.047;65.0;224.0;0.9961;3.17;0.47;8.9;5
4663;6.0;0.17;0.33;6.0;0.036;30.0;111.0;0.99362;3.32;0.58;10.1333333333;7
3229;6.2;0.2;0.26;1.1;0.047;42.0;119.0;0.99158;3.48;0.6;11.0;7
4730;7.9;0.3;0.6;1.85;0.048;13.0;106.0;0.99331;3.24;0.49;11.85;5
3109;6.9;0.3;0.36;4.5;0.054;31.0;203.0;0.99513;3.4;0.57;10.4;4
3029;7.1;0.47;0.29;14.8;0.024;22.0;142.0;0.99518;3.12;0.48;12.0;8
3884;6.0;0.28;0.24;17.8;0.047;42.0;111.0;0.99896;3.1;0.45;8.9;6
384;6.0;0.36;0.39;3.2;0.027;20.0;125.0;0.991;3.38;0.39;11.3;7
920;7.0;0.11;0.32;4.6;0.057;59.0;144.0;0.9956;3.55;0.44;9.4;7
1871;7.0;0.21;0.22;5.1;0.048;38.0;168.0;0.9945;3.34;0.49;10.4;6
4574;6.2;0.2;0.26;9.7;0.03;39.0;102.0;0.9908;3.08;0.56;12.9;7
271;5.2;0.6;0.07;7.0;0.044;33.0;147.0;0.9944;3.33;0.58;9.7;5
396;8.2;0.28;0.42;1.8;0.031;30.0;93.0;0.9917;3.09;0.39;11.4;5
1019;8.3;0.14;0.26;1.5;0.049;56.0;189.0;0.9946;3.21;0.62;9.5;6
169;9.8;0.42;0.48;9.85;0.034;5.0;110.0;0.9958;2.87;0.29;10.0;5
2458;7.8;0.32;0.33;10.4;0.031;47.0;194.0;0.99692;3.07;0.58;9.6;6
1988;8.0;0.22;0.32;10.4;0.043;63.0;201.0;0.997;3.11;0.53;9.5;6
1638;7.6;0.47;0.49;13.0;0.239;42.0;220.0;0.9988;2.96;0.51;9.2;5
993;7.0;0.24;0.18;1.3;0.046;9.0;62.0;0.994;3.38;0.47;10.1;4
4390;6.2;0.25;0.44;15.8;0.057;39.0;167.0;0.99804;3.14;0.51;9.2;5
2782;7.1;0.2;0.31;6.85;0.053;32.0;211.0;0.99587;3.31;0.59;10.4;6
671;6.6;0.28;0.36;1.7;0.038;22.0;101.0;0.9912;3.29;0.57;11.6;6
1689;7.1;0.16;0.25;1.3;0.034;28.0;123.0;0.9915;3.27;0.55;11.4;6
333;6.5;0.28;0.34;9.9;0.038;30.0;133.0;0.9954;3.11;0.44;9.8;5
2485;8.0;0.28;0.32;7.6;0.045;61.0;204.0;0.99543;3.1;0.55;10.1;6
1612;7.8;0.26;0.49;3.2;0.027;28.0;87.0;0.9919;3.03;0.32;11.3;7
705;8.6;0.27;0.46;6.1;0.032;13.0;41.0;0.993;2.89;0.34;10.9;5
2615;6.5;0.18;0.41;14.2;0.039;47.0;129.0;0.99678;3.28;0.72;10.3;7
2168;7.4;0.19;0.3;12.8;0.053;48.5;229.0;0.9986;3.14;0.49;9.1;7
593;6.4;0.45;0.07;1.1;0.03;10.0;131.0;0.9905;2.97;0.28;10.8;5
334;5.6;0.26;0.26;5.7;0.031;12.0;80.0;0.9923;3.25;0.38;10.8;5
3912;6.5;0.33;0.3;3.8;0.036;34.0;88.0;0.99028;3.25;0.63;12.5;7
733;6.6;0.25;0.3;14.4;0.052;40.0;183.0;0.998;3.02;0.5;9.1;6
3099;6.7;0.34;0.4;2.1;0.033;34.0;111.0;0.98924;2.97;0.48;12.2;7
3897;7.0;0.24;0.3;12.3;0.035;72.0;172.0;0.9954;2.99;0.57;10.4;6
2929;6.6;0.22;0.29;14.4;0.046;39.0;118.0;0.99834;3.05;0.5;9.1;6
1558;6.2;0.43;0.49;6.4;0.045;12.0;115.0;0.9963;3.27;0.57;9.0;4
390;7.0;0.3;0.38;14.9;0.032;60.0;181.0;0.9983;3.18;0.61;9.3;7
2801;6.8;0.26;0.44;8.2;0.046;52.0;183.0;0.99584;3.2;0.51;9.4;5
2873;5.8;0.21;0.32;1.6;0.045;38.0;95.0;0.98946;3.23;0.94;12.4;8
3427;5.8;0.24;0.26;10.05;0.039;63.0;162.0;0.99375;3.33;0.5;11.2;6
4070;6.1;0.28;0.27;8.0;0.048;41.0;162.0;0.99498;3.21;0.51;9.9;5
518;5.9;0.13;0.28;1.9;0.05;20.0;78.0;0.9918;3.43;0.64;10.8;6
2626;8.0;0.24;0.26;1.7;0.033;36.0;136.0;0.99316;3.44;0.51;10.4;7
422;7.0;0.21;0.28;8.6;0.045;37.0;221.0;0.9954;3.25;0.54;10.4;6
3367;6.0;0.29;0.25;1.4;0.033;30.0;114.0;0.98794;3.08;0.43;13.2;6
411;7.3;0.28;0.36;12.7;0.04;38.0;140.0;0.998;3.3;0.79;9.6;6
1724;7.0;0.13;0.3;5.0;0.056;31.0;122.0;0.9945;3.47;0.42;10.5;6
2722;7.6;0.4;0.27;5.2;0.03;32.0;101.0;0.99172;3.22;0.62;12.3;7
2121;7.7;0.39;0.28;4.9;0.035;36.0;109.0;0.9918;3.19;0.58;12.2;7
3549;6.0;0.33;0.2;1.8;0.031;49.0;159.0;0.9919;3.41;0.53;11.0;6
4506;6.6;0.19;0.28;1.1;0.044;38.0;100.0;0.9904;3.22;0.69;11.2;6
667;7.1;0.17;0.38;7.4;0.052;49.0;182.0;0.9958;3.35;0.52;9.6;6
1251;5.7;0.245;0.33;1.1;0.049;28.0;150.0;0.9927;3.13;0.42;9.3;5
168;7.5;0.29;0.31;8.95;0.055;20.0;151.0;0.9968;3.08;0.54;9.3;5
1198;7.1;0.26;0.32;14.45;0.074;29.0;107.0;0.998;2.96;0.42;9.2;6
2259;7.2;0.39;0.54;1.4;0.157;34.0;132.0;0.99449;3.11;0.53;9.0;6
4278;5.6;0.18;0.29;2.3;0.04;5.0;47.0;0.99126;3.07;0.45;10.1;4
3158;7.1;0.36;0.37;4.8;0.019;39.0;114.0;0.99036;3.08;0.49;12.7;7
2482;6.2;0.26;0.37;7.1;0.047;54.0;201.0;0.99523;3.19;0.48;9.5;6
1259;6.2;0.21;0.38;6.8;0.036;64.0;245.0;0.9951;3.06;0.36;9.3;6
2380;6.4;0.27;0.19;1.9;0.085;21.0;196.0;0.99516;3.49;0.64;9.5;4
949;7.3;0.25;0.39;6.4;0.034;8.0;84.0;0.9942;3.18;0.46;11.5;5
3366;6.2;0.3;0.21;1.1;0.032;31.0;111.0;0.9889;2.97;0.42;12.2;6
625;6.2;0.24;0.29;13.3;0.039;49.0;130.0;0.9952;3.33;0.46;11.0;8
3974;6.5;0.29;0.52;7.9;0.049;35.0;192.0;0.99551;3.16;0.51;9.5;6
809;6.2;0.3;0.26;13.4;0.046;57.0;206.0;0.99775;3.17;0.43;9.5;6
2645;6.7;0.12;0.3;5.2;0.048;38.0;113.0;0.99352;3.33;0.44;10.1;7
3970;6.7;0.18;0.31;10.6;0.035;42.0;143.0;0.99572;3.08;0.49;9.8;7
2334;7.5;0.23;0.35;17.8;0.058;128.0;212.0;1.00241;3.44;0.43;8.9;5
599;6.9;0.19;0.4;1.4;0.036;14.0;55.0;0.9909;3.08;0.68;11.5;7
421;7.0;0.21;0.28;8.7;0.045;37.0;222.0;0.9954;3.25;0.54;10.4;6
2966;6.6;0.23;0.3;14.9;0.051;33.0;118.0;0.99835;3.04;0.54;9.0;6
1690;9.0;0.43;0.3;1.5;0.05;7.0;175.0;0.9951;3.11;0.45;9.7;4
4777;5.9;0.27;0.32;2.0;0.034;31.0;102.0;0.98952;3.16;0.56;12.3;6
2746;7.0;0.34;0.3;1.8;0.045;44.0;142.0;0.9914;2.99;0.45;10.8;6
903;5.9;0.31;0.3;7.7;0.047;60.0;206.0;0.995;3.2;0.39;9.6;6
965;8.3;0.23;0.43;3.2;0.035;14.0;101.0;0.9928;3.15;0.36;11.5;5
4825;6.0;0.34;0.29;6.1;0.046;29.0;134.0;0.99462;3.48;0.57;10.7;6
1205;8.9;0.33;0.32;1.5;0.047;11.0;200.0;0.9954;3.19;0.46;9.4;5
925;6.3;0.27;0.23;2.9;0.047;13.0;100.0;0.9936;3.28;0.43;9.8;5
3390;6.9;0.29;0.3;8.2;0.026;35.0;112.0;0.99144;3.0;0.37;12.3;6
1102;6.3;0.16;0.4;1.6;0.033;59.0;148.0;0.9914;3.44;0.53;11.4;5
3130;6.5;0.33;0.38;2.5;0.047;30.0;148.0;0.98964;3.17;0.43;12.7;6
1491;7.5;0.2;0.49;1.3;0.031;8.0;97.0;0.9918;3.06;0.62;11.1;5
2846;6.9;0.15;0.29;2.3;0.033;14.0;82.0;0.99132;3.1;0.58;11.2;7
3049;7.5;0.33;0.38;8.7;0.126;49.0;199.0;0.99711;2.98;0.57;9.4;5
2952;6.1;0.27;0.25;1.8;0.041;9.0;109.0;0.9929;3.08;0.54;9.0;5
716;7.7;0.42;0.31;9.2;0.048;22.0;221.0;0.9969;3.06;0.61;9.2;6
2974;7.5;0.19;0.4;7.1;0.056;50.0;110.0;0.9954;3.06;0.52;9.9;6
4642;5.7;0.24;0.3;1.3;0.03;25.0;98.0;0.98968;3.37;0.43;12.4;7
2487;7.9;0.27;0.27;1.7;0.034;25.0;122.0;0.99088;2.97;0.51;11.9;6
1598;6.3;0.24;0.74;1.4;0.172;24.0;108.0;0.9932;3.27;0.39;9.9;6
3528;6.9;0.75;0.13;6.3;0.036;19.0;50.0;0.99312;3.09;0.25;11.1;4
499;7.2;0.4;0.62;10.8;0.041;70.0;189.0;0.9976;3.08;0.49;8.6;4
437;6.6;0.16;0.32;1.4;0.035;49.0;186.0;0.9906;3.35;0.64;12.4;8
4174;6.3;0.24;0.22;11.9;0.05;65.0;179.0;0.99659;3.06;0.58;9.3;6
3414;8.9;0.3;0.35;4.6;0.032;32.0;148.0;0.99458;3.15;0.45;11.5;7
1487;6.7;0.25;0.74;19.4;0.054;44.0;169.0;1.0004;3.51;0.45;9.8;6
4791;6.7;0.3;0.5;12.1;0.045;38.0;127.0;0.9974;3.04;0.53;8.9;6
3051;7.5;0.33;0.38;8.7;0.126;49.0;199.0;0.99711;2.98;0.57;9.4;5
623;7.2;0.24;0.34;1.1;0.045;3.0;64.0;0.9913;3.23;0.51;11.4;5
2516;7.1;0.32;0.29;4.0;0.038;33.0;170.0;0.99463;3.27;0.64;10.2;6
3683;6.8;0.15;0.41;12.9;0.044;79.5;183.0;0.99742;3.24;0.78;10.2;6
1297;7.3;0.42;0.38;6.8;0.045;29.0;122.0;0.9925;3.19;0.37;12.6;7
1093;8.4;0.17;0.31;6.7;0.038;29.0;132.0;0.9945;3.1;0.32;10.6;7
2359;6.0;0.495;0.27;5.0;0.157;17.0;129.0;0.99396;3.03;0.36;9.3;5
4605;6.5;0.29;0.32;3.0;0.036;38.0;93.0;0.9906;3.16;0.59;12.0;6
2047;6.8;0.34;0.44;6.6;0.052;28.0;156.0;0.9955;3.14;0.41;9.6;5
4284;6.0;0.2;0.26;6.8;0.049;22.0;93.0;0.9928;3.15;0.42;11.0;6
994;8.6;0.18;0.36;1.8;0.04;24.0;187.0;0.9956;3.25;0.55;9.5;6
2691;6.2;0.28;0.27;10.3;0.03;26.0;108.0;0.99388;3.2;0.36;10.7;6
1470;7.6;0.52;0.49;14.0;0.034;37.0;156.0;0.9958;3.14;0.38;11.8;7
3433;6.2;0.255;0.27;1.3;0.037;30.0;86.0;0.98834;3.05;0.59;12.9;7
2076;6.8;0.36;0.32;1.6;0.039;10.0;124.0;0.9948;3.3;0.67;9.6;5
330;6.4;0.32;0.35;4.8;0.03;34.0;101.0;0.9912;3.36;0.6;12.5;8
3562;7.6;0.37;0.34;3.2;0.028;42.0;162.0;0.9903;3.01;0.33;12.4;6
4051;6.8;0.3;0.27;11.6;0.028;22.0;97.0;0.99314;2.96;0.38;11.7;6
1529;6.6;0.21;0.49;18.15;0.042;41.0;158.0;0.9997;3.28;0.39;8.7;6
3921;7.3;0.36;0.34;14.8;0.057;46.0;173.0;0.99751;3.14;0.57;10.2;5
449;6.4;0.28;0.29;1.6;0.052;34.0;127.0;0.9929;3.48;0.56;10.5;7
3535;6.4;0.28;0.44;7.1;0.048;49.0;179.0;0.99528;3.15;0.48;9.2;5
2726;5.3;0.2;0.31;3.6;0.036;22.0;91.0;0.99278;3.41;0.5;9.8;6
2894;6.4;0.125;0.36;1.4;0.044;22.0;68.0;0.99014;3.15;0.5;11.7;7
1058;7.5;0.21;0.34;1.2;0.06;26.0;111.0;0.9931;3.51;0.47;10.7;6
1188;7.1;0.21;0.3;1.4;0.037;45.0;143.0;0.9932;3.13;0.33;9.9;6
2958;7.2;0.2;0.22;1.6;0.044;17.0;101.0;0.99471;3.37;0.53;10.0;5
4345;7.1;0.2;0.35;3.2;0.034;21.0;107.0;0.99195;3.11;0.54;11.1;6
3583;7.7;0.24;0.3;1.4;0.041;15.0;102.0;0.9929;3.26;0.53;10.4;6
4752;5.1;0.25;0.36;1.3;0.035;40.0;78.0;0.9891;3.23;0.64;12.1;7
2342;7.7;0.4;0.27;4.5;0.034;27.0;95.0;0.99175;3.21;0.59;12.3;8
3151;6.2;0.23;0.36;17.2;0.039;37.0;130.0;0.99946;3.23;0.43;8.8;6
3421;6.3;0.29;0.28;4.7;0.059;28.0;81.0;0.99036;3.24;0.56;12.7;8
4838;5.3;0.275;0.24;7.4;0.038;28.0;114.0;0.99313;3.38;0.51;11.0;6
780;6.0;0.395;0.0;1.4;0.042;7.0;55.0;0.99135;3.37;0.38;11.2;4
45;7.4;0.18;0.31;1.4;0.058;38.0;167.0;0.9931;3.16;0.53;10.0;7
4718;5.2;0.24;0.15;7.1;0.043;32.0;134.0;0.99378;3.24;0.48;9.9;6
2551;6.3;0.26;0.42;7.1;0.045;62.0;209.0;0.99544;3.2;0.53;9.5;6
1662;6.7;0.21;0.49;1.4;0.047;30.0;114.0;0.9914;2.92;0.42;10.8;7
2708;6.8;0.23;0.42;7.4;0.044;56.0;189.0;0.9958;3.22;0.48;9.3;6
1696;8.5;0.32;0.36;14.9;0.041;47.0;190.0;0.9982;3.08;0.31;10.0;6
958;6.6;0.2;0.32;1.1;0.039;25.0;78.0;0.9926;3.39;0.54;10.2;7
3017;5.9;0.34;0.3;3.8;0.035;57.0;135.0;0.99016;3.09;0.34;12.0;6
2428;7.3;0.22;0.26;1.5;0.04;32.0;172.0;0.99194;3.27;0.48;11.2;6
1443;7.0;0.18;0.49;5.3;0.04;34.0;125.0;0.9914;3.24;0.4;12.2;6
2955;7.4;0.35;0.24;6.0;0.042;28.0;123.0;0.99304;3.14;0.44;11.3;5
1096;6.5;0.28;0.26;8.8;0.04;44.0;139.0;0.9956;3.32;0.37;10.2;6
522;6.9;0.25;0.4;1.3;0.038;22.0;101.0;0.9901;3.03;0.39;11.4;6
2055;7.3;0.29;0.29;4.6;0.029;27.0;155.0;0.9931;3.07;0.26;10.6;6
3338;7.2;0.27;0.28;15.2;0.046;6.0;41.0;0.99665;3.17;0.39;10.9;6
2643;8.1;0.33;0.22;5.2;0.047;24.0;151.0;0.99527;3.22;0.47;10.3;5
2511;6.2;0.3;0.49;11.2;0.058;68.0;215.0;0.99656;3.19;0.6;9.4;6
4123;6.6;0.44;0.32;3.0;0.095;13.0;75.0;0.98954;3.1;0.63;12.8;6
1486;6.2;0.15;0.49;0.9;0.033;17.0;51.0;0.9932;3.3;0.7;9.4;6
1477;7.6;0.51;0.24;1.2;0.04;10.0;104.0;0.992;3.05;0.29;10.8;6
3451;6.6;0.21;0.29;5.35;0.029;43.0;106.0;0.99112;2.93;0.43;11.5;7
3967;6.3;0.27;0.51;7.6;0.049;35.0;200.0;0.99548;3.16;0.54;9.4;4
4430;8.1;0.36;0.59;13.6;0.051;60.0;134.0;0.99886;2.96;0.39;8.7;5
1269;8.4;0.35;0.56;13.8;0.048;55.0;190.0;0.9993;3.07;0.58;9.4;6
586;7.4;0.26;0.3;7.9;0.049;38.0;157.0;0.9963;3.13;0.48;8.9;6
3270;6.4;0.15;0.29;1.8;0.044;21.0;115.0;0.99166;3.1;0.38;10.2;5
3089;6.2;0.36;0.38;3.2;0.031;20.0;89.0;0.98956;3.06;0.33;12.0;7
1352;5.7;0.21;0.24;2.3;0.047;60.0;189.0;0.995;3.65;0.72;10.1;6
824;8.4;0.18;0.42;5.1;0.036;7.0;77.0;0.9939;3.16;0.52;11.7;5
2577;6.7;0.25;0.36;8.6;0.037;63.0;206.0;0.99553;3.18;0.5;9.6;5
707;7.2;0.18;0.45;4.4;0.046;57.0;166.0;0.9943;3.13;0.62;11.2;6
3031;5.8;0.19;0.25;10.8;0.042;33.0;124.0;0.99646;3.22;0.41;9.2;6
603;6.4;0.475;0.06;1.0;0.03;9.0;131.0;0.9904;2.97;0.29;10.8;5
1799;6.4;0.26;0.21;7.1;0.04;35.0;162.0;0.9956;3.39;0.58;9.9;6
4217;6.1;0.38;0.14;3.9;0.06;27.0;113.0;0.99344;3.07;0.34;9.2;4
3047;7.7;0.18;0.53;1.2;0.041;42.0;167.0;0.9908;3.11;0.44;11.9;5
4279;6.2;0.24;0.27;16.8;0.04;48.0;129.0;0.99691;3.23;0.38;10.5;6
1951;9.9;1.005;0.46;1.4;0.046;34.0;185.0;0.9966;3.02;0.49;10.2;4
3778;6.3;0.15;0.3;1.4;0.022;38.0;100.0;0.99099;3.42;0.57;11.4;7
1863;6.6;0.28;0.3;7.8;0.049;57.0;202.0;0.9958;3.24;0.39;9.5;5
4611;5.9;0.42;0.36;2.4;0.034;19.0;77.0;0.99184;3.25;0.48;10.9;5
